id,sku,name,description,price,brand_name,category,image_url,tags,inventory_status,is_active
9a7728a5-ee18-4481-afc8-41719c7b3d20,MB-SALMON-30,Mumbies Grain-Free Salmon Formula,Wild-caught salmon with peas and lentils. Rich in omega fatty acids for a healthy coat.,34.99,Mumbies,food,https://images.unsplash.com/photo-1583337130417-3346a1be7dee?w=500,"made_in_usa,small_business,sustainable",in_stock,true
b6c587d2-8743-447e-b8f1-1b9ae6a06c54,MB-JOINT-60,Mumbies Hip & Joint Support Chews,Glucosamine and chondroitin for healthy joints. Great taste dogs love.,27.99,Mumbies,treats,https://images.unsplash.com/photo-1623039405147-547794f92e9e?w=500,made_in_usa,in_stock,true
f802a83d-bd30-4393-aafe-55c1ed9f926d,MB-DUCK-30,Mumbies Premium Duck & Sweet Potato Recipe,Single-source protein with wholesome sweet potatoes. Perfect for dogs with sensitivities.,32.99,Mumbies,food,https://images.unsplash.com/photo-1548199973-03cce0bbc87b?w=500,"made_in_usa,small_business",in_stock,true
aec06973-c473-4a23-8c77-3a7fb14d51d4,NP-BOWL-SET,Natural Paws Bamboo Food Bowl Set,Eco-friendly bamboo bowls with stainless steel insert. Elevated design for comfort.,34.99,Natural Paws,accessories,https://images.unsplash.com/photo-1623387641168-d9803ddd3f35?w=500,"sustainable,organic",in_stock,true
9c94d315-15ab-4833-9854-0ddaaceae78e,NP-ROPE-LG,Natural Paws Eco-Friendly Rope Toy,Hand-braided from sustainable hemp and organic cotton. Tough enough for serious play.,14.99,Natural Paws,toys,https://images.unsplash.com/photo-1611003228941-98852ba62227?w=500,"sustainable,organic",in_stock,true
0bddcb8d-ccf6-4726-9ffb-3e10cd04e885,NP-PLUSH-BEAR,Natural Paws Organic Plush Toy - Bear,Soft and cuddly made from organic cotton. Perfect for gentle chewers.,12.99,Natural Paws,toys,https://images.unsplash.com/photo-1551410224-699683e15636?w=500,"organic,sustainable",in_stock,true
11918ac7-82af-44d9-8fae-e08a90934c20,NP-COLLAR-M,Natural Paws Recycled Canvas Collar,Stylish and sustainable. Made from 100% recycled materials with metal hardware.,18.99,Natural Paws,accessories,https://images.unsplash.com/photo-1601758228041-f3b2795255f1?w=500,sustainable,in_stock,true
7904772f-2ccd-4cd0-b7df-ffd6566d9bb8,SC-BEEF-14,Stella & Chewy's Freeze-Dried Raw Dinner Patties - Beef,Grass-fed beef with organic produce. Raw nutrition made simple and convenient for your dog.,46.99,Stella & Chewy's,food,https://images.unsplash.com/photo-1543466835-00a7907e9de1?w=500,"made_in_usa,organic",in_stock,true
cc1cf72e-6717-4084-b944-c03c99b43184,SC-CHICKEN-14,Stella & Chewy's Freeze-Dried Raw Dinner Patties - Chicken,Made with 95% chicken organs and bone plus organic fruits and vegetables. Minimally processed and full of natural nutrition.,44.99,Stella & Chewy's,food,https://images.unsplash.com/photo-1589924691995-400dc9ecc119?w=500,"made_in_usa,organic",in_stock,true
43cda216-4698-44ec-b6d8-916aa9665cf2,YUM-DENTAL-3,Yummies Dental Chews - Bulk Pack,Keep teeth clean and breath fresh. Natural ingredients no artificial colors or flavors.,19.99,Yummies,treats,https://images.unsplash.com/photo-1592859600972-1b0a6f5683c3?w=500,made_in_usa,in_stock,true
50ad63dc-ba57-4ba3-89d5-98b77ea509d0,YUM-JERKY-BF-2,Yummies Jerky Strips - Beef (Bulk 2lb),Premium beef jerky strips. One ingredient endless tail wags.,29.99,Yummies,treats,https://images.unsplash.com/photo-1588610997502-dc6cdfc4954f?w=500,made_in_usa,in_stock,true
1c163d0f-a151-4917-8cba-5c20b97ffd26,YUM-TRAIN-CB-5,Yummies Training Treats - Chicken & Blueberry (Bulk 5lb),Perfect bite-sized rewards for training. Made with real chicken and antioxidant-rich blueberries.,24.99,Yummies,treats,https://images.unsplash.com/photo-1599599810769-bcde5a160d32?w=500,made_in_usa,in_stock,true
